id,phase1_dps,phase2_dps,phase3_dps,FK_player_id
972,17326.65,11575.98,0.0,Atakama.3624
973,19372.23,21872.61,21587.68,QuisQuam.6127
974,36720.06,0.0,0.0,The Holy Eldar.3624
975,38816.8,40062.4,22772.68,NeoTron.7268
976,37413.84,41328.82,44918.11,Yippikayay.4073
977,3035.3,3332.84,2948.5,Kagar.3705
978,17121.37,12776.85,18383.79,Koby.6352
979,29576.83,34148.52,34205.39,LiMeKim.7198
980,35651.37,34978.7,18259.28,Geisti.7485
981,5693.03,5150.68,387.71,DasXXS.1086
982,11559.36,11678.94,0.0,Trinock.8413
983,19556.03,17624.29,581.86,Titania.4806
984,19426.33,10093.67,0.0,Keyls.3152
985,17008.96,14664.17,0.0,Polerokfi.6274
986,6922.41,7690.91,219.29,Alarishct.7509
987,15573.45,16559.41,5542.43,Suriin.4597
988,10905.44,9305.64,2839.57,MMhivi.8497
989,18193.24,25282.25,47.29,Kvarjan.3817
990,17072.71,15892.58,0.0,Dartze.1503
991,35171.35,37628.03,31074.63,Kisana.4318
992,3576.6,3974.51,2172.1,JeagER.6123
993,17461.1,13630.11,8146.35,Hesher.6492
994,8247.75,11193.2,6509.62,Grunt.1705
995,13809.9,21716.55,10590.29,faight.3264
996,22160.27,25502.4,26472.74,BillC.4521
997,7167.12,5537.71,6929.35,DCFCGEORGE.4821
998,15397.94,15288.91,16258.9,Frostroses.4196
999,12335.6,11133.76,3729.35,Delgado.1547
1000,26725.77,23877.51,29220.67,TheBHSP.8952
1001,36336.16,52073.17,51581.1,Tyrreur.8407
